local_time,trc_bot,trc_q,trc_top,Source_File
2025-07-15 00:00:00,195.08833333333334,64.80666666666667,151.49833333333336,2025-07-15 Data
2025-07-15 00:01:00,195.10216666666668,64.69,151.50525000000002,2025-07-15 Data
2025-07-15 00:02:00,195.10216666666668,64.685,151.50525000000002,2025-07-15 Data
2025-07-15 00:03:00,195.116,64.72166666666666,151.49141666666668,2025-07-15 Data
2025-07-15 00:04:00,195.09525,64.69833333333334,151.526,2025-07-15 Data
2025-07-15 00:05:00,195.116,64.60666666666665,151.51908333333333,2025-07-15 Data
2025-07-15 00:06:00,195.10216666666668,64.63666666666667,151.49833333333336,2025-07-15 Data
2025-07-15 00:07:00,195.10908333333333,64.61333333333333,151.50525000000002,2025-07-15 Data
2025-07-15 00:08:00,195.10908333333333,64.62833333333333,151.49833333333336,2025-07-15 Data
2025-07-15 00:09:00,195.116,64.62333333333332,151.5121666666667,2025-07-15 Data
2025-07-15 00:10:00,195.10908333333333,64.61,151.5121666666667,2025-07-15 Data
2025-07-15 00:11:00,195.116,64.57,151.51908333333333,2025-07-15 Data
2025-07-15 00:12:00,195.116,64.57833333333333,151.4845,2025-07-15 Data
2025-07-15 00:13:00,195.10908333333333,64.57,151.47758333333334,2025-07-15 Data
2025-07-15 00:14:00,195.116,64.515,151.49833333333336,2025-07-15 Data
2025-07-15 00:15:00,195.12983333333335,64.50833333333334,151.51908333333333,2025-07-15 Data
2025-07-15 00:16:00,195.09525,64.50500000000001,151.5121666666667,2025-07-15 Data
2025-07-15 00:17:00,195.10908333333333,64.50666666666667,151.50525000000002,2025-07-15 Data
2025-07-15 00:18:00,195.116,64.465,151.44991666666667,2025-07-15 Data
2025-07-15 00:19:00,195.10216666666668,64.48333333333333,151.49833333333336,2025-07-15 Data
2025-07-15 00:20:00,195.10216666666668,64.43333333333334,151.50525000000002,2025-07-15 Data
2025-07-15 00:21:00,195.10908333333333,64.46333333333334,151.50525000000002,2025-07-15 Data
2025-07-15 00:22:00,195.10216666666668,64.435,151.50525000000002,2025-07-15 Data
2025-07-15 00:23:00,195.12291666666667,64.40333333333334,151.5121666666667,2025-07-15 Data
2025-07-15 00:24:00,195.10908333333333,64.45333333333333,151.47758333333334,2025-07-15 Data
2025-07-15 00:25:00,195.10908333333333,64.41166666666668,151.5121666666667,2025-07-15 Data
2025-07-15 00:26:00,195.116,64.41166666666668,151.49833333333336,2025-07-15 Data
2025-07-15 00:27:00,195.10908333333333,64.31833333333333,151.45683333333332,2025-07-15 Data
2025-07-15 00:28:00,195.116,64.31333333333333,151.5121666666667,2025-07-15 Data
2025-07-15 00:29:00,195.09525,64.36166666666666,151.47758333333334,2025-07-15 Data
2025-07-15 00:30:00,195.12291666666667,64.33833333333334,151.46375,2025-07-15 Data
2025-07-15 00:31:00,195.116,64.315,151.49141666666668,2025-07-15 Data
2025-07-15 00:32:00,195.116,64.27333333333334,151.50525000000002,2025-07-15 Data
2025-07-15 00:33:00,195.10908333333333,64.27833333333334,151.47758333333334,2025-07-15 Data
2025-07-15 00:34:00,195.12983333333335,64.295,151.50525000000002,2025-07-15 Data
2025-07-15 00:35:00,195.12291666666667,64.25333333333334,151.46375,2025-07-15 Data
2025-07-15 00:36:00,195.116,64.21833333333333,151.4845,2025-07-15 Data
2025-07-15 00:37:00,195.09525,64.20666666666666,151.49141666666668,2025-07-15 Data
2025-07-15 00:38:00,195.116,64.21833333333333,151.49141666666668,2025-07-15 Data
2025-07-15 00:39:00,195.09525,64.21333333333334,151.49141666666668,2025-07-15 Data
2025-07-15 00:40:00,195.116,64.20166666666667,151.49833333333336,2025-07-15 Data
2025-07-15 00:41:00,195.10908333333333,64.16,151.49141666666668,2025-07-15 Data
2025-07-15 00:42:00,195.10908333333333,64.12333333333332,151.46375,2025-07-15 Data
2025-07-15 00:43:00,195.10908333333333,64.14666666666666,151.49141666666668,2025-07-15 Data
2025-07-15 00:44:00,195.10216666666668,64.15333333333334,151.526,2025-07-15 Data
2025-07-15 00:45:00,195.12983333333335,64.06333333333333,151.443,2025-07-15 Data
2025-07-15 00:46:00,195.10216666666668,64.10833333333333,151.47758333333334,2025-07-15 Data
2025-07-15 00:47:00,195.10908333333333,64.1,151.41533333333334,2025-07-15 Data
2025-07-15 00:48:00,195.08833333333334,64.14833333333334,151.47066666666666,2025-07-15 Data
2025-07-15 00:49:00,195.10908333333333,64.13,151.49141666666668,2025-07-15 Data
2025-07-15 00:50:00,195.08833333333334,64.11999999999999,151.51908333333333,2025-07-15 Data
2025-07-15 00:51:00,195.12983333333335,64.07333333333332,151.44991666666667,2025-07-15 Data
2025-07-15 00:52:00,195.116,64.07166666666666,151.50525000000002,2025-07-15 Data
2025-07-15 00:53:00,195.10216666666668,64.06666666666666,151.4845,2025-07-15 Data
2025-07-15 00:54:00,195.12291666666667,64.07,151.49141666666668,2025-07-15 Data
2025-07-15 00:55:00,195.08141666666668,64.05333333333333,151.4845,2025-07-15 Data
2025-07-15 00:56:00,195.10908333333333,64.01,151.46375,2025-07-15 Data
2025-07-15 00:57:00,195.116,64.015,151.36688333333333,2025-07-15 Data
2025-07-15 00:58:00,195.12983333333335,63.97666666666667,151.35996666666668,2025-07-15 Data
2025-07-15 00:59:00,195.116,64.04333333333334,151.014,2025-07-15 Data
2025-07-15 01:00:00,195.116,64.01833333333333,150.85488333333333,2025-07-15 Data
2025-07-15 01:01:00,195.116,63.961666666666666,150.22523333333336,2025-07-15 Data
2025-07-15 01:02:00,195.09525,63.96666666666667,151.38763333333333,2025-07-15 Data
