local_time,ac_curr,ac_pow,ac_volt,bh_dp,bh_out,blw_pct,boiler,c_ratio,ch4_pct,co2_pct,cull_pct,cwr,cws,dc_curr,dc_mtr2,dc_pow,dc_volt,g_o2_p,gad_o2,h2_pct,new_n2,o2_pct,o2_press,omega_o2,omega_pro,pem,pem_p,pemn2a,pemn2b,pemo2a,pemo2b,q_out,q_wat,q_wat_p,r_ac_hld,scrb_hx,scrb_lev,scrb_p,scrb_ph,scrbtank,steam,syn_pph,syn_scfm,synfm_p,synfm_t,total_n2,total_o2,trc_bot,trc_q,trc_surf,trc_top
6:05:00,168.36455,17.053341,101.28809,0.62891775,127,49.9878,15962.8,0.008153146,0.06062672,6.4611721,50.0122,28,25.9,0,0,0,0,14.30770833,0,0,3.657326333,2.2794492,25.5922,0.041933183,0.685235853,861.63508,-1.216573233,19.98803,0,0,0,175.3533333,1.892433333,44.0716,256,15,10.24934,-2.2571435,6.9264772,16,7.475699667,0,0,0.35409,22.29,2.552072767,0.359484,1013.007567,284.955,155.0766667,875.116
6:05:30,168.32155,17.04552033,101.2655333,0.6265368,127,49.9878,15962.8,0.009143374,0.04634916,6.4595115,50.0122,28,25.93333333,0,0,0,0,14.30973833,0,0,3.660473333,2.2773328,25.5922,0.043000437,0.685095707,861.5021533,-1.255593433,19.9945,0,0,0,176.13,1.817666667,44.32213333,256,15,10.25396333,-2.284908467,6.888364433,16,7.446868667,0,0,0.352055,22.92666667,2.561436067,0.359484,1013.8681,284.921,155.0696667,875.116
6:06:00,168.31465,17.041429,101.2490067,0.62488845,127,49.9878,15962.8,0.00805278,0.05050056,6.445811667,50.0122,28,25.79,0,0,0,0,14.31336333,0,0,3.6546575,2.2888102,25.5922,0.043160607,0.685978257,861.42612,-1.2362352,19.9945,0,0,0,176.5833333,1.8204,44.35066667,256,15,10.256792,-2.269573333,6.9020163,16,7.4307764,0,0,0.3367518,23,2.551150667,0.3592206,1013.8848,284.9096667,155.079,875.1146167
6:06:30,168.33666,17.04528533,101.2570467,0.62370815,127,49.9878,15962.8,0.006682481,0.04797716,6.4653241,50.0122,28,25.97666667,0,0,0,0,14.31181667,0,0,3.658258167,2.2916592,25.5922,0.043187247,0.687224977,862.0848133,-1.2272884,19.9945,0,0,0,177,1.780666667,44.12426667,256,15,10.264143,-2.255505733,6.911623,16,7.460337933,0,0,0.3415544,23,2.554330767,0.359484,1013.7748,284.9316667,155.1033333,875.0717333
6:07:00,168.3648833,17.04760933,101.25392,0.6228331,127,49.9878,15962.8,0.006946555,0.05260068,6.451332367,50.0122,28,26,0,0,0,0,14.30949667,0,0,3.6556865,2.290519267,25.59467633,0.04261352,0.686641313,861.1604333,-1.242681,19.9945,0,0,0,177,1.741966667,44.38273333,256.0666667,15,10.27104667,-2.269131967,6.9162628,16,7.453353933,0,0,0.3462756,23,2.550564567,0.360142333,1013.8764,284.9443333,155.0206667,875.1063167
6:07:30,168.33851,17.04208333,101.23918,0.6210016,127,49.9878,15962.8,0.006584815,0.06277568,6.440342067,50.0122,28,26,0,0,0,0,14.3123,0,0,3.6544316,2.2953222,25.59193933,0.04413456,0.6861649,862.01701,-1.243435367,19.9945,0,0,0,177,1.733433333,44.16493333,256.6266667,15,10.260629,-2.2689376,6.9196486,16,7.4021999,0,0,0.3539272,23,2.551018167,0.359484,1013.8512,284.9706667,155.0866667,875.116
6:08:00,168.33882,17.04271733,101.24052,0.620676,127,49.9878,15962.8,0.008429134,0.06497348,6.4620995,50.0122,28,26,0,0,0,0,14.308675,0,0,3.6553789,2.296706,25.58998433,0.042893767,0.686832757,861.8564767,-1.246670133,19.991265,0,0,0,177.47,1.637166667,44.2868,256.6266667,15,10.245455,-2.263148967,6.919432,16,7.288502167,0,0,0.3470896,23,2.553580733,0.3592206,1013.8134,284.9593333,155.0696667,875.3484667
6:08:30,168.34316,17.038297,101.21171,0.617827,127,49.9878,15962.8,0.007269012,0.06253148,6.4441513,50.0122,28,26,0,0,0,0,14.303745,0,0,3.654710167,2.300552,25.5922,0.04217326,0.687752677,861.9339733,-1.275586233,19.984795,0,0,0,178.9966667,1.662333333,44.26083333,256.93,15,10.26539767,-2.289010233,6.9208684,16,7.176182667,0,0,0.3367518,23,2.551709833,0.359642,1013.8232,285.0416667,154.9966667,875.6639667
6:09:00,168.34781,17.048259,101.26799,0.61540535,127,49.9878,15962.8,0.006994558,0.05872196,6.432625033,50.0122,28,26,0,0,0,0,14.30621,0,0,3.6562574,2.296115667,25.5922,0.04246672,0.686202243,862.1249367,-1.225541633,19.972502,0,0,0,179,1.662833333,44.25033333,257,15,10.259585,-2.2407336,6.9254614,16,7.116436167,0,0,0.3438336,23,2.553197333,0.361432667,1013.9002,285.09,154.928,876.7253733
6:09:30,168.34688,17.04822067,101.2677667,0.6176235,127,49.9878,15962.8,0.007629503,0.051282,6.4528713,50.0122,28,26,0,0,0,0,14.30935167,0,0,3.6585001,2.2974386,25.593373,0.041652903,0.685249843,862.53317,-1.186356333,19.984148,0,0,0,179.02,1.6705,42.86163333,257,15,10.2711,-2.203590033,6.939543033,16,7.070979833,0,0,0.3466012,23,2.553145167,0.359484,1013.8624,285.203,154.944,877.99156
