local_time,ac_curr,ac_pct,ac_pow,ac_volt,bh_out,blw_pct,blw_pr,boiler,c_ratio,ch4_pct,co2_pct,co_pct,cull_pct,cwr,cws,dc_curr,dc_mtr,dc_mtr2,dc_pow,dc_volt,feed_pct,g_fg_p,g_o2_p,gad_fg,gad_o2,h2_pct,massflow,n2_pct,new_n2,o2_pct,o2_press,omega_o2,omega_pro,pct_outp,pem,pem_p,pem_pro,pemn2a,pemn2b,pemo2a,pemo2b,q_n2,q_n2_p,q_out,q_syn,q_syn_p,q_wat,q_wat_p,scrb_hx,scrb_lev,scrb_p,scrb_ph,scrbden,scrbtank,steam,syn_den,syn_pph,syn_scfm,synfm_p,synfm_t,total_n2,total_o2,trc_bot,trc_q,trc_s01,trc_s02,trc_s03,trc_s04,trc_s05,trc_s06,trc_s07,trc_s08,trc_s09,trc_s10,trc_surf,trc_top,utc_time
2025-07-16 00:00:00,168.02289504698794,36.9963,16.981033856231363,101.06380495459933,128.0,49.9878,0.0,15962.8,0.006843479738509951,0.043091008456572884,6.525323937042454,0.04499184147513086,50.0122,28.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,,14.299531410971637,,0.0,0.04351917490798111,,90.70959064549024,3.5277674004793913,2.63126,25.48053238757598,0.05215432932310157,0.6793444509727926,0.0,857.265,-1.3320154893034306,,19.9945,0.0,0.0,0.0,,,176.14010239939586,,,1.9229679376754065,45.488844933371496,17.94473590896492,7.470188111237845,-2.20792005474956,7.042929007844098,,18.0,9.054386230311414,,0.0,0.0,0.30525,24.0,2.4797731099256244,0.36355873656354015,963.956,238.966930508081,,,,,,,,,,,143.20428196200322,788.7461716982741,
2025-07-16 00:00:30,168.0115424151587,36.9963,16.979424234985963,101.06020427096514,128.0,49.9878,0.0,15962.8,0.006590484003374191,0.046832866164551415,6.50427396817072,0.043255539017091955,50.0122,28.0,25.963428114826346,0.0,0.0,0.0,0.0,0.0,0.0,,14.29896223582797,,0.0,0.02724043852491355,,90.74662382620656,3.5249384946729823,2.63126,25.479253439723564,0.05172692225772381,0.6792792029377662,0.0,857.265,-1.3477878769369702,,19.9945,0.0,0.0,0.0,,,176.32232220910507,,,2.2559231673717712,45.616642506379726,17.900670064310418,7.46914429125221,-2.2245923856028984,7.043747585025216,,18.0,9.069452381864162,,0.0,0.0,0.30526356666666665,24.0,2.4760080366734303,0.3636443466464352,963.956,238.98548989738734,,,,,,,,,,,143.24548248398858,788.7562418201661,
2025-07-16 00:01:00,168.01142666666667,36.9963,16.978175333333333,101.05223722222222,128.0,49.9878,0.0,15962.8,0.007116532766666667,0.05208786,6.480137811111111,0.047062779444444446,50.0122,28.0,25.933333333333334,0.0,0.0,0.0,0.0,0.0,0.0,,14.298065833333334,,0.0,0.019240251222222223,,90.77103755555555,3.524650461111111,2.63126,25.481651666666668,0.051523538333333334,0.6798868872222222,0.0,857.265,-1.3855711833333333,,19.9945,0.0,0.0,0.0,,,176.8438888888889,,,2.0040444444444443,47.15025,17.85111111111111,7.470078522222222,-2.2583142055555556,7.0452122500000005,,18.0,9.079408588888889,,0.0,0.0,0.30596903333333336,24.0,2.4766041166666666,0.36448321,963.956,239.0605,,,,,,,,,,,143.35294444444443,788.7729944444444,
2025-07-16 00:01:30,168.01793666666666,36.9963,16.976432055555556,101.03691944444445,128.0,49.9878,0.0,15962.8,0.007366605511111111,0.05495856666666667,6.458558644444444,0.04847371200000001,50.0122,28.0,25.965555555555557,0.0,0.0,0.0,0.0,0.0,0.0,,14.29771138888889,,0.0,0.018803400000000005,,90.78769761111111,3.525026561111111,2.6320060444444446,25.484923333333334,0.052003821666666665,0.6806682561111111,0.0,857.265,-1.38769925,,19.9945,0.0,0.0,0.0,,,177.14944444444444,,,1.66835,47.86252777777778,17.777222222222225,7.471927311111111,-2.2586847888888886,7.046144316666667,,18.0,9.085370666666668,,0.0,0.0,0.30645743333333336,24.0,2.4776247222222225,0.36596703,963.9592277777778,239.19416666666666,,,,,,,,,,,143.47844444444445,788.7748394444445,
2025-07-16 00:02:00,168.01649,36.9963,16.973007555555558,101.01882944444445,128.0,49.9878,0.0,15962.8,0.007439289844444445,0.05362903333333334,6.470708111111111,0.04852119305555556,50.0122,28.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,,14.299983055555556,,0.0,0.018433030000000003,,90.77359338888888,3.5235871777777774,2.6353971555555558,25.488195,0.05231737222222222,0.6804612455555555,0.0,857.265,-1.36617435,,19.9945,0.0,0.0,0.0,,,177.02333333333334,,,1.622538888888889,47.52182777777777,17.77277777777778,7.472806722222222,-2.2362671666666665,7.04615,,18.0,9.104029,,0.0,0.0,0.3066202333333334,24.0,2.4772952055555555,0.36625238,963.9629166666667,239.31411111111112,,,,,,,,,,,143.51500000000001,789.2109694444445,
2025-07-16 00:02:30,168.00161,36.9963,16.968694944444444,101.00375444444445,128.0,49.9878,0.0,15962.8,0.008095743594444444,0.04907877333333334,6.49776995,0.05312031783333334,50.0122,28.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,,14.302037222222223,,0.0,0.029791032222222225,,90.72458794444445,3.5242225777777776,2.6381540777777777,25.48763166666667,0.05169919722222223,0.6804480072222222,0.0,857.2663833333334,-1.3804054333333333,,19.9945,0.0,0.0,0.0,,,177.26166666666668,,,1.577877777777778,47.66001111111111,17.790555555555557,7.477535416666667,-2.245888361111111,7.0385726166666664,,18.0,9.068355977777777,,0.0,0.0,0.3079226333333334,24.0,2.479096655555556,0.36650261,963.9636083333334,239.39977777777779,,,,,,,,,,,143.46366666666665,790.6014633333333,
2025-07-16 00:03:00,167.99763166666668,36.9963,16.96694377777778,100.99351833333334,127.84166666666667,49.9878,0.0,15962.8,0.007322359483333333,0.04809654666666666,6.500960822222222,0.0481277758888889,50.0122,28.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,,14.301376666666668,,0.0,0.05202270666666667,,90.68454794444445,3.5276881777777778,2.639788577777778,25.480351666666667,0.051619145,0.6802596605555556,0.0,857.2774499999999,-1.3827072944444445,,19.9945,0.0,0.0,0.0,,,177.63888888888889,,,1.5491333333333335,47.71908888888889,17.771666666666665,7.484583694444444,-2.2456524166666667,7.023714316666667,,18.0,8.982069744444443,,0.0,0.0,0.3118434,24.0,2.483162366666667,0.36711940500000007,963.9698333333332,239.50788888888889,,,,,,,,,,,143.28455555555556,791.5683027777777,
2025-07-16 00:03:30,168.00171333333336,36.9963,16.966846555555556,100.98901444444444,127.75,49.9878,0.0,15962.8,0.006729443483333333,0.04818066,6.502853483333333,0.04386104372222222,50.0122,28.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,,14.301271944444444,,0.0,0.04008540777777778,,90.70187899999999,3.52855915,2.644841422222222,25.47578,0.051376814444444446,0.6803413572222222,0.0,857.3051166666667,-1.3771472444444444,,19.9945,0.0,0.0,0.0,,,177.51333333333332,,,1.5277722222222223,47.68696111111111,17.835555555555555,7.487538111111111,-2.237407088888889,7.0245479,,18.0,8.979361722222222,,0.0,0.0,0.3141361666666667,24.0,2.484429522222222,0.366263355,963.9659138888888,239.64255555555556,,,,,,,,,,,143.08849999999998,791.61905,
2025-07-16 00:04:00,167.9985616666667,36.9963,16.96728461111111,100.99575166666666,127.84388888888888,49.9878,0.0,15962.8,0.007747176166666666,0.049436933333333336,6.507037461111111,0.050474816222222225,50.0122,28.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,,14.302705833333334,,0.0,0.019306726388888893,,90.72536199999999,3.5272700055555557,2.6481478277777777,25.4763,0.05070747444444445,0.6804760077777777,0.0,857.2903611111111,-1.3794012777777778,,19.9945,0.0,0.0,0.0,,,177.42999999999998,,,1.4956333333333334,47.584894444444444,17.82777777777778,7.489841416666667,-2.2352626333333334,7.0359076,,18.0,9.040334794444444,,0.0,0.0,0.31264383333333334,24.0,2.4829873222222223,0.365139515,963.9569222222223,239.79305555555555,,,,,,,,,,,143.08433333333332,791.6607805555556,
2025-07-16 00:04:30,168.00558833333335,36.9963,16.971355333333335,101.01667388888889,127.85,49.9878,0.0,15962.8,0.007692353011111111,0.05253013333333333,6.51825045,0.050481596777777776,50.0122,28.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,,14.305025833333334,,0.0,0.028603988444444447,,90.70057672222222,3.526829033333333,2.6486022444444446,25.475585000000002,0.05160133888888889,0.6805593405555556,0.0,857.2643083333334,-1.3890215666666668,,19.9945,0.0,0.0,0.0,,,177.97666666666666,,,1.4778666666666667,47.48107777777778,17.825,7.493536472222222,-2.2412051777777777,7.0404106,,18.0,9.080184905555557,,0.0,0.0,0.31024253333333335,24.0,2.483152888888889,0.365152685,964.1727950000001,239.94233333333335,,,,,,,,,,,143.14316666666667,791.6603194444444,
